Img; Root; X; Y; theta; Diam; bLength; aLength; BirthTime; rootOrder; insertA; parentRoot; pathRoot
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.342186; 9.137826; 4.7355886; 0.09339102; 4.463389; 2.562688; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.346285; 9.31447; 4.613925; 0.098520786; 4.64008; 2.3859968; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.325985; 9.519973; 4.6687946; 0.089720935; 4.846583; 2.179494; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.318723; 9.686454; 4.5904164; 0.100431636; 5.013222; 2.0128548; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.285866; 9.954494; 4.547634; 0.09302539; 5.28327; 1.742807; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.259611; 10.112403; 4.588515; 0.09170908; 5.4433465; 1.5827307; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.242617; 10.248894; 4.605591; 0.09188932; 5.5808907; 1.4451865; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.215855; 10.4985285; 4.576921; 0.09557359; 5.8319564; 1.1941209; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.185755; 10.719359; 4.641761; 0.11516221; 6.054829; 0.9712482; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.16924; 10.952799; 4.658212; 0.10206198; 6.288852; 0.737225; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.157542; 11.168508; 4.7684402; 0.093852185; 6.5048776; 0.52119946; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.168125; 11.357125; 4.674962; 0.10544437; 6.6937923; 0.33228463; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.161764; 11.527014; 4.712389; 0.10544437; 6.863799; 0.16227777; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.161764; 11.689292; 0.0; 0.10544437; 7.0260773; 0.0; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.102492; 4.7950997; 4.4246864; 0.09527271; 0.0; 10.028566; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.031236; 5.0359025; 4.9586115; 0.09527271; 0.2511248; 9.777441; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.102293; 5.318635; 4.977671; 0.09527271; 0.54264927; 9.485917; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.154672; 5.5114284; 5.0030875; 0.104061045; 0.7424315; 9.286134; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.214266; 5.710624; 4.9712844; 0.09699516; 0.9503509; 9.078215; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.263849; 5.8978424; 5.054719; 0.09876958; 1.1440235; 8.884542; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.318749; 6.051903; 4.977559; 0.09876958; 1.3075738; 8.720992; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.379587; 6.275926; 5.0257425; 0.08846382; 1.5397109; 8.488854; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.436786; 6.4524503; 4.992634; 0.0882182; 1.7252709; 8.303295; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.484495; 6.6182117; 4.8755493; 0.09304788; 1.8977618; 8.130804; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.509213; 6.7683635; 4.758272; 0.0896283; 2.0499346; 7.978631; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.5163145; 6.9230027; 4.6515803; 0.09882393; 2.204737; 7.823829; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.504903; 7.1104255; 4.587781; 0.10726552; 2.3925066; 7.6360593; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.479698; 7.3116536; 4.512976; 0.10198456; 2.595307; 7.4332585; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.439029; 7.5128884; 4.54626; 0.08438589; 2.8006105; 7.227956; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.410198; 7.6848307; 4.469295; 0.0982495; 2.974953; 7.053613; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.362847; 7.875764; 4.4102554; 0.0982495; 3.17167; 6.856896; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.293611; 8.097905; 4.452539; 0.10160063; 3.4043512; 6.6242146; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.242824; 8.288936; 4.369681; 0.094923325; 3.6020176; 6.426548; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.188222; 8.441972; 4.601732; 0.094923325; 3.7645028; 6.2640634; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.172347; 8.584847; 4.6561103; 0.094923325; 3.908257; 6.120309; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.165292; 8.710083; 4.570492; 0.094923325; 4.033692; 5.9948745; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.140597; 8.882944; 4.6739087; 0.094923325; 4.2083077; 5.820258; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.135235; 9.022228; 4.67162; 0.094547965; 4.3476944; 5.6808715; 0.0;0; 0.0;-1;-1
